Quarter,Total_Claims,Total_Loss,Avg_Cost_per_Claim,Claim_Resolution_Rate,Avg_Days_to_Close_Claim
2015Q1,1888,365235821.14,193451.17645127117,0.7452330508474576,44.0774697938877
2015Q2,1852,363512421.17999995,196281.00495680343,0.7532397408207343,43.57562724014337
2015Q3,1950,364629720.4,186989.6002051282,0.7353846153846154,43.882147838214784
2015Q4,1857,357996174.63,192782.00033925686,0.7679052234787291,44.99228611500701
2016Q1,1872,350706702.85,187343.32417200855,0.7435897435897436,44.861350574712645
2016Q2,1871,362922345.48,193972.39202565473,0.7637626937466595,45.50034989503149
2016Q3,1900,375568100.42,197667.42127368422,0.7447368421052631,44.825441696113074
2016Q4,1882,358499139.59000003,190488.3844792774,0.769394261424017,45.48066298342541
2017Q1,1916,369698947.6,192953.5217118998,0.7567849686847599,45.71241379310345
2017Q2,1914,357972468.92,187028.45816091954,0.7460815047021944,44.93977591036415
2017Q3,1862,354338664.19000006,190300.03447368424,0.7432867883995704,44.44291907514451
2017Q4,1848,349241606.4,188983.55324675323,0.7408008658008658,45.81884587289993
2018Q1,1853,352485954.39,190224.47619535887,0.747436589314625,45.84115523465704
2018Q2,1856,374587149.67,201824.9728825431,0.765625,45.032371569317384
2018Q3,1939,387125227.05,199651.99951005675,0.739556472408458,45.75523012552301
2018Q4,1865,366755234.43999994,196651.6002359249,0.7549597855227882,45.52840909090909
2019Q1,1753,346560576.64,197695.70829435252,0.7415858528237308,44.120769230769234
2019Q2,1932,372236027.1,192668.75108695653,0.7329192546583851,44.579802259887
2019Q3,1910,363441801.06,190283.66547643978,0.7282722513089005,45.807332854061826
2019Q4,1894,355066616.63,187469.17456705385,0.7275607180570222,45.14876632801161
2020Q1,1897,360136499.31,189845.2816605166,0.7269372693726938,45.07396664249456
2020Q2,1823,337995978.35,185406.46097092706,0.7580910586944597,45.56946454413893
2020Q3,1812,349475704.96999997,192867.38684878586,0.7522075055187638,44.266324284666176
2020Q4,1837,357798668.07,194773.36313010342,0.7485029940119761,44.24581818181818
2021Q1,1894,367401425.42999995,193981.74521119322,0.723336853220697,44.902189781021896
2021Q2,1885,354252866.3,187932.555066313,0.7506631299734748,44.88904593639576
2021Q3,1797,352212349.46000004,196000.19446855874,0.7696160267111853,45.17281272595806
2021Q4,1879,358623973.09000003,190858.9532144758,0.7541245343267695,44.75088214537756
2022Q1,1889,363040344.01,192186.52409211223,0.7596611964002118,45.17003484320558
2022Q2,1922,380086177.26,197755.55528616023,0.7627471383975026,44.46862210095498
2022Q3,1914,360268514.82,188228.06416927898,0.7518286311389759,44.99652536483669
2022Q4,1861,363851239.45000005,195513.83097796887,0.7565824825362708,46.02556818181818
2023Q1,1808,351803145.90000004,194581.38600663719,0.7323008849557522,44.918429003021146
2023Q2,1864,360383190.87,193338.6217113734,0.7532188841201717,45.40242165242165
2023Q3,1915,369131583.92,192758.0072689295,0.7618798955613577,45.04318026045237
2023Q4,1894,372663576.25,196760.071937698,0.7676874340021119,44.446354883081156
2024Q1,1840,343814149.45,186855.51600543477,0.7652173913043478,45.36789772727273
2024Q2,1866,362496732.59000003,194264.0581939979,0.7561629153269025,45.39688164422395
2024Q3,1934,359683080.07000005,185978.84181489144,0.7631851085832472,44.93292682926829
2024Q4,1855,353694354.19,190670.81088409704,0.7525606469002696,44.61819484240688
